"geno","env","loc","year","rep","block","row","col","variety","design_class","target_n","plot_id","yield","disease","height","heading","yld","family","sire","dam"
"G1","Y1_L1","L1","Y1",1,"B5",7,5,"G1","augmented_single",200,1,7.71848111922642,25.0736770250284,26.6909986445808,102.579921989935,7.71848111922642,"F001","P1","P32"
"G1","Y1_L1","L1","Y1",1,"B1",1,7,"G1","augmented_single",200,2,6.08667516006257,21.3316760157472,25.8149877553579,90.136682011601,6.08667516006257,"F001","P1","P32"
"G1","Y1_L1","L1","Y1",1,"B8",10,10,"G1","augmented_single",200,3,7.54678238288295,22.9958978836668,25,91.796892169927,7.54678238288295,"F001","P1","P32"
"G2","Y1_L1","L1","Y1",1,"B4",6,2,"G2","augmented_single",200,4,7.35986711242292,37.4468302522351,29.7202026272751,89.9945675086402,7.35986711242292,"F001","P1","P32"
"G2","Y1_L1","L1","Y1",1,"B3",4,4,"G2","augmented_single",200,5,7.1203607714582,32.1641348667286,26.5868605515777,97.4620088020602,7.1203607714582,"F001","P1","P32"
"G2","Y1_L1","L1","Y1",1,"B8",10,9,"G2","augmented_single",200,6,7.59020469390879,34.8801643294135,25.0369149546042,89.8935669098022,7.59020469390879,"F001","P1","P32"
"G3","Y1_L1","L1","Y1",1,"B2",3,5,"G3","augmented_single",200,7,6.8568460744414,31.6732522016072,28.7194835213961,97.3317772153177,6.8568460744414,"F001","P1","P32"
"G3","Y1_L1","L1","Y1",1,"B3",4,1,"G3","augmented_single",200,8,6.71597706159346,25.678310608319,28.2977126025774,94.4967171322645,6.71597706159346,"F001","P1","P32"
"G3","Y1_L1","L1","Y1",1,"B6",8,11,"G3","augmented_single",200,9,7.41396529166476,28.7956431478953,28.8048807467894,96.948207394357,7.41396529166476,"F001","P1","P32"
"G4","Y1_L1","L1","Y1",1,"B5",7,2,"G4","augmented_single",200,10,8.30472259949313,33.2348215087684,25,99.9492937081627,8.30472259949313,"F001","P1","P32"
"G4","Y1_L1","L1","Y1",1,"B1",1,5,"G4","augmented_single",200,11,7.35314744425976,19.7059231265531,30.2494431986566,95.8665821560183,7.35314744425976,"F001","P1","P32"
