"geno","env","loc","year","rep","block","row","col","variety","design_class","target_n","plot_id","yield","disease","height","heading","yld","family","sire","dam"
"G37","Y1_L1","L1","Y1","1","B1",3,2,"G37","fullrep_MET",1000,1,6.6598792652289,22.7125174537453,26.9405151342965,112.924828038862,6.6598792652289,"F004","P1","P71"
"G50","Y1_L1","L1","Y1","1","B3",7,1,"G50","fullrep_MET",1000,2,6.54420390811794,36.1965023930131,25.1613836730554,110.670288291421,6.54420390811794,"F005","P1","P46"
"G30","Y1_L1","L1","Y1","1","B3",6,7,"G30","fullrep_MET",1000,3,7.18911121989488,24.5145005282464,26.5673093347511,107.277962404294,7.18911121989488,"F003","P1","P24"
"G25","Y1_L1","L1","Y1","1","B2",5,5,"G25","fullrep_MET",1000,4,9.5,34.6910810138682,32.1110406385128,90.3392017399911,9.5,"F003","P1","P24"
"G36","Y1_L1","L1","Y1","1","B2",5,1,"G36","fullrep_MET",1000,5,7.69391488955924,39.4615001141286,27.2518918421296,95.5821516259688,7.69391488955924,"F004","P1","P71"
"G4","Y1_L1","L1","Y1","1","B1",1,8,"G4","fullrep_MET",1000,6,6.29034126295104,25.5686347292212,27.9988077093488,99.7654645109272,6.29034126295104,"F001","P1","P32"
"G13","Y1_L1","L1","Y1","1","B1",1,5,"G13","fullrep_MET",1000,7,8.79084289534957,22.8415766397153,32.2736706320817,113.535441571961,8.79084289534957,"F002","P1","P36"
"G45","Y1_L1","L1","Y1","1","B1",2,5,"G45","fullrep_MET",1000,8,6.14954988082793,19.6905882423988,27.525206693146,93.9969143876182,6.14954988082793,"F005","P1","P46"
"G3","Y1_L1","L1","Y1","1","B1",3,1,"G3","fullrep_MET",1000,9,6.28422621065505,26.0102228872257,25.1388561763111,98.6920928914324,6.28422621065505,"F001","P1","P32"
"G33","Y1_L1","L1","Y1","1","B1",3,3,"G33","fullrep_MET",1000,10,7.43541462976149,28.1600251844535,29.1180418295185,115.820469664731,7.43541462976149,"F004","P1","P71"
