"geno","env","loc","year","rep","block","row","col","variety","design_class","target_n","plot_id","yield","disease","height","heading","yld","family","sire","dam"
"G572","Y1_L1","L1","Y1","1","B3",5,7,"G1","sparse_prep_MET",1000,1,8.39934908012469,29.774675303577,30.5057985696351,106.94221623219,8.39934908012469,"F058","P12","P53"
"G693","Y1_L1","L1","Y1","1","B2",4,9,"G2","sparse_prep_MET",1000,2,5.23660556330546,28.2101882066405,32.7961333531779,96.0256073211191,5.23660556330546,"F070","P14","P33"
"G92","Y1_L1","L1","Y1","1","B2",4,4,"G3","sparse_prep_MET",1000,3,8.82466560147197,40.7284469282259,30.1381334160257,98.3830735798342,8.82466560147197,"F010","P2","P30"
"G903","Y1_L1","L1","Y1","1","B2",3,7,"G4","sparse_prep_MET",1000,4,7.31406928625847,28.348860234095,31.3090159126268,104.896228864287,7.31406928625847,"F091","P19","P26"
"G8","Y1_L1","L1","Y1","1","B3",6,4,"G5","sparse_prep_MET",1000,5,6.31858036178335,20.2856644533919,28.5788239476718,100.914477615855,6.31858036178335,"F001","P1","P32"
"G635","Y1_L1","L1","Y1","1","B1",2,8,"G6","sparse_prep_MET",1000,6,6.98597967642877,26.1788183706802,25,103.012562072488,6.98597967642877,"F064","P13","P79"
"G496","Y1_L1","L1","Y1","1","B3",7,2,"G7","sparse_prep_MET",1000,7,7.71162923314667,38.5995224789137,32.2527784905535,102.03727309848,7.71162923314667,"F050","P10","P69"
"G669","Y1_L1","L1","Y1","1","B1",2,6,"G8","sparse_prep_MET",1000,8,6.03950139218504,33.7397642319654,33.3667545363287,98.7995783131173,6.03950139218504,"F067","P14","P21"
"G560","Y1_L1","L1","Y1","1","B3",6,5,"G9","sparse_prep_MET",1000,9,9.43315225306488,28.0938016642094,30.8181771039732,94.411770053944,9.43315225306488,"F056","P12","P70"
"G346","Y1_L1","L1","Y1","1","B2",3,8,"G10","sparse_prep_MET",1000,10,8.20293852116633,12.4412030164723,30.2305028694336,111.293002866191,8.20293852116633,"F035","P7","P21"
"G788","Y1_L1","L1","Y1","1","B2",4,6,"G11","sparse_prep_MET",1000,11,6.51744581718984,29.3820936513815,32.0566644732775,93.6283641757335,6.51744581718984,"F079","P16","P26"
"G294","Y1_L1","L1","Y1","1","B3",7,4,"G19","sparse_prep_MET",1000,12,6.74881263067631,23.4965356314107,32.854015759394,109.073178193195,6.74881263067631,"F030","P6","P80"
"G528","Y1_L1","L1","Y1","1","B4",8,3,"G23","sparse_prep_MET",1000,13,7.71008288941557,17.4883185774003,30.8439655502025,110.866236155717,7.71008288941557,"F053","P11","P31"
"G559","Y1_L1","L1","Y1","1","B1",1,7,"G29","sparse_prep_MET",1000,14,7.02986038761002,26.8692951389856,27.9943280954971,87.4638478306725,7.02986038761002,"F056","P12","P70"
"G3","Y1_L1","L1","Y1","1","B2",4,3,"G84","sparse_prep_MET",1000,15,7.16396980871568,31.9853340100758,27.8642486960371,101.374861852102,7.16396980871568,"F001","P1","P32"
"G162","Y1_L1","L1","Y1","1","B1",1,3,"G92","sparse_prep_MET",1000,16,6.90468226090644,30.6454088747865,29.6064929835463,93.7949623920218,6.90468226090644,"F017","P4","P54"
"G256","Y1_L1","L1","Y1","1","B4",7,9,"G132","sparse_prep_MET",1000,17,7.85020062053802,19.3867105945455,27.9919956369806,102.249743082944,7.85020062053802,"F026","P6","P40"
"G826","Y1_L1","L1","Y1","1","B3",6,1,"G153","sparse_prep_MET",1000,18,7.79446124912312,15.4774548309297,29.5645714321085,107.342165569299,7.79446124912312,"F083","P17","P37"
"G906","Y1_L1","L1","Y1","1","B1",1,9,"G162","sparse_prep_MET",1000,19,7.18901247660829,31.4389568197785,29.0658736736712,99.5433184068275,7.18901247660829,"F091","P19","P26"
"G682","Y1_L1","L1","Y1","1","B4",8,2,"G216","sparse_prep_MET",1000,20,6.46465679187248,29.6037453273089,31.7607916293251,98.168835282982,6.46465679187248,"F069","P14","P67"
"G440","Y1_L1","L1","Y1","1","B3",7,6,"G228","sparse_prep_MET",1000,21,7.85981232196904,27.2637887893691,29.799284320808,108.349076538254,7.85981232196904,"F044","P9","P26"
"G947","Y1_L1","L1","Y1","1","B2",3,4,"G247","sparse_prep_MET",1000,22,8.44527625282285,17.0274186134328,27.945269947559,111.080078283514,8.44527625282285,"F095","P19","P28"
"G748","Y1_L1","L1","Y1","1","B1",3,2,"G256","sparse_prep_MET",1000,23,6.92275973043426,28.6440151596053,31.4068122164876,98.8111519859568,6.92275973043426,"F075","P15","P79"
"G536","Y1_L1","L1","Y1","1","B4",7,7,"G265","sparse_prep_MET",1000,24,7.27483751284175,21.2130869259943,25.5718669288835,114.309748297407,7.27483751284175,"F054","P11","P80"
"G19","Y1_L1","L1","Y1","1","B1",2,3,"G273","sparse_prep_MET",1000,25,5.81596380262504,35.6951458507036,31.1507190004504,93.373648730997,5.81596380262504,"F002","P1","P36"
"G366","Y1_L1","L1","Y1","1","B1",1,4,"G279","sparse_prep_MET",1000,26,8.76705615266471,24.1601745281678,33.1756171646351,118.380605589755,8.76705615266471,"F037","P8","P53"
"G341","Y1_L1","L1","Y1","1","B2",3,9,"G294","sparse_prep_MET",1000,27,8.45759259748039,25.2294093830476,32.1014312875475,130,8.45759259748039,"F035","P7","P21"
"G9","Y1_L1","L1","Y1","1","B2",4,7,"G326","sparse_prep_MET",1000,28,6.39652039993876,33.2492717212598,28.1026019370839,110.015795033567,6.39652039993876,"F001","P1","P32"
"G84","Y1_L1","L1","Y1","1","B3",7,1,"G341","sparse_prep_MET",1000,29,8.52179744964741,20.1246696156509,31.3272639281511,106.649050789488,8.52179744964741,"F009","P2","P73"
"G684","Y1_L1","L1","Y1","1","B1",2,9,"G346","sparse_prep_MET",1000,30,6.59789730031094,23.4277353400234,29.2659831715328,108.320320837234,6.59789730031094,"F069","P14","P67"
"G836","Y1_L1","L1","Y1","1","B4",7,8,"G366","sparse_prep_MET",1000,31,5.08402604547822,32.6976569795471,26.9882771582342,81.1588686108299,5.08402604547822,"F084","P17","P52"
"G10","Y1_L1","L1","Y1","1","B2",5,4,"G385","sparse_prep_MET",1000,32,7.3409729621074,37.135359527783,30.0152379653507,100.116896169001,7.3409729621074,"F001","P1","P32"
"G772","Y1_L1","L1","Y1","1","B4",8,6,"G407","sparse_prep_MET",1000,33,7.68570437204612,21.8904544849838,31.5077694544533,100.706714242429,7.68570437204612,"F078","P16","P33"
"G1","Y1_L1","L1","Y1","1","B1",2,5,"G434","sparse_prep_MET",1000,34,5.74553909243035,31.3018739021698,28.9170849318133,100.37585273736,5.74553909243035,"F001","P1","P32"
"G770","Y1_L1","L1","Y1","1","B3",6,3,"G440","sparse_prep_MET",1000,35,9.41315095462076,31.9766268120264,30.402781176485,102.110017901885,9.41315095462076,"F077","P16","P65"
"G279","Y1_L1","L1","Y1","1","B2",5,2,"G449","sparse_prep_MET",1000,36,7.53768599799279,18.8415076428562,28.7017815475204,115.846169847938,7.53768599799279,"F028","P6","P46"
"G29","Y1_L1","L1","Y1","1","B1",1,2,"G477","sparse_prep_MET",1000,37,8.37925766540796,24.9907903666945,28.6533268640996,100.765542439809,8.37925766540796,"F003","P1","P24"
"G6","Y1_L1","L1","Y1","1","B2",4,8,"G496","sparse_prep_MET",1000,38,5.49281761555705,37.5449777108586,27.2092356776488,91.528159396709,5.49281761555705,"F001","P1","P32"
"G581","Y1_L1","L1","Y1","1","B1",1,1,"G500","sparse_prep_MET",1000,39,7.8226451305443,31.5243895037657,33.1847871308522,101.235432378,7.8226451305443,"F059","P12","P74"
"G477","Y1_L1","L1","Y1","1","B1",1,5,"G528","sparse_prep_MET",1000,40,7.05851143512176,27.4117323862707,31.3872963474502,113.910271635645,7.05851143512176,"F048","P10","P41"
"G948","Y1_L1","L1","Y1","1","B3",5,6,"G536","sparse_prep_MET",1000,41,7.1683716213252,27.4945348825473,34.3039985188193,102.531640789093,7.1683716213252,"F095","P19","P28"
